Cycle,Calculation time [ms],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],LShoulder x[m],LShoulder y[m],LShoulder z[m],RShoulder x[m],RShoulder y[m],RShoulder z[m],LElbow x[m],LElbow y[m],LElbow z[m],RElbow x[m],RElbow y[m],RElbow z[m],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],Body x[m],Body y[m],Body z[m],cur Angle1[rad],cur Angle2[rad],des Angle1[rad],des Angle2[rad],cur Anvel1[rad/s],cur Anvel2[rad/s],des Anvel1[rad/s],des Anvel2[rad/s],cur Anacc1[rad/s2],cur Anacc2[rad/s2],des Anacc1[rad/s2],des Anacc2[rad/s2],DelPos x [m],DelPos y [m]
0,5.45864,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
1,6.06651,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
2,6.71379,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
3,6.66942,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
4,6.67869,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
5,6.73432,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
6,6.68896,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
7,6.68234,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
8,6.73067,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
9,6.71677,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
10,6.85715,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
11,6.68565,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
12,6.73796,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14161,1.57084,-3.14161,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
